"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Measles","Measles","","","",0,*,"","","","null {[]} {[]}
","Measles","Measles","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Measles.id","Measles.id","","","",1,1,"","","","string {[]} {[]}
","ID","ID","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#UWodgvnPnt6
",,,,"Measles.id",1,1,"",""
"Measles.nationalIdNumber","Measles.nationalIdNumber","","","",1,1,"","","","string {[]} {[]}
","National ID number","National ID number","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#L6WNZMhuxR3
",,,,"Measles.nationalIdNumber",1,1,"",""
"Measles.firstName","Measles.firstName","","","",0,1,"","","","string {[]} {[]}
","First name","First name","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#PWtYn9NOXEO
",,,,"Measles.firstName",0,1,"",""
"Measles.lastName","Measles.lastName","","","",1,1,"","","","string {[]} {[]}
","Last Name","Last Name","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#ZNACp7TZNvT
",,,,"Measles.lastName",1,1,"",""
"Measles.middleName","Measles.middleName","","","",0,1,"","","","string {[]} {[]}
","Middle Name","Middle Name","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#Ttp29mbPncP
",,,,"Measles.middleName",0,1,"",""
"Measles.gender","Measles.gender","","","",0,1,"","","","code {[]} {[]}
","Gender","Gender","","","","","","","","","",,"required","","http://example.org/ValueSet/GenderVS","http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#uHnTMC13n1b
",,,,"Measles.gender",0,1,"",""
"Measles.dateOfBirth","Measles.dateOfBirth","","","",1,1,"","","","date {[]} {[]}
","Date of birth","Date of birth","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#Vk0AMXO4hEK
",,,,"Measles.dateOfBirth",1,1,"",""
"Measles.emailAdress","Measles.emailAdress","","","",0,1,"","","","string {[]} {[]}
","Email adress","Email adress","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#nBAp1YCfpwr
",,,,"Measles.emailAdress",0,1,"",""
"Measles.phoneNumber","Measles.phoneNumber","","","",0,1,"","","","string {[]} {[]}
","Phone number","Phone number","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#IUbA5LpfnUI
",,,,"Measles.phoneNumber",0,1,"",""
"Measles.placeOfResidence","Measles.placeOfResidence","","","",0,1,"","","","string {[]} {[]}
","Place of residence","Place of residence","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-tracked-entity-attributes-cs#ExiLfngjOBI
",,,,"Measles.placeOfResidence",0,1,"",""
"Measles.clinicalReport","Measles.clinicalReport","","","",0,1,"","","","http://example.org/StructureDefinition/ClinicalReport {[]} {[]}
","Clinical report","Clinical report","","","","","","","","","",,,,,"",,,,"Measles.clinicalReport",0,1,"",""
"Measles.laboratory","Measles.laboratory","","","",0,*,"","","","http://example.org/StructureDefinition/Laboratory {[]} {[]}
","Laboratory","Laboratory","","","","","","","","","",,,,,"",,,,"Measles.laboratory",0,*,"",""
"Measles.finalClassification","Measles.finalClassification","","","",0,1,"","","","http://example.org/StructureDefinition/FinalClassification {[]} {[]}
","Final classification","Final classification","","","","","","","","","",,,,,"",,,,"Measles.finalClassification",0,1,"",""
"Measles.regionalHealthAuthority","Measles.regionalHealthAuthority","","","",0,1,"","","","http://example.org/StructureDefinition/RegionalHealthAuthority {[]} {[]}
","Regional health authority","Regional health authority","","","","","","","","","",,,,,"",,,,"Measles.regionalHealthAuthority",0,1,"",""
"Measles.epidemiologist","Measles.epidemiologist","","","",0,1,"","","","http://example.org/StructureDefinition/Epidemiologist {[]} {[]}
","Epidemiologist","Epidemiologist","","","","","","","","","",,,,,"",,,,"Measles.epidemiologist",0,1,"",""
