"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ClinicalReport","ClinicalReport","ClinicalReport","","","",0,*,"","","","null {[]} {[]}
","Clinical report","Clinical report","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ClinicalReport","ClinicalReport.vaccinatedAgainstMeaslesRubella","ClinicalReport.vaccinatedAgainstMeaslesRubella","","","",0,1,"","","","boolean {[]} {[]}
","Vaccinated against Measles/Rubella","Vaccinated against Measles/Rubella","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#sx65Ijl09gx
",,,,"ClinicalReport.vaccinatedAgainstMeaslesRubella",0,1,"",""
"ClinicalReport","ClinicalReport.fever","ClinicalReport.fever","","","",0,1,"","","","code {[]} {[]}
","Fever","Fever","","","","","","","","","",,"required","","http://example.org/ValueSet/YesNoUnknownVS","http://example.org/CodeSystem/dhis2-data-elements-cs#R6o8SL217JB
",,,,"ClinicalReport.fever",0,1,"",""
"ClinicalReport","ClinicalReport.dateOfFeverOnset","ClinicalReport.dateOfFeverOnset","","","",0,1,"","","","date {[]} {[]}
","Date of fever onset","Date of fever onset","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#kMzOKNO3n0q
",,,,"ClinicalReport.dateOfFeverOnset",0,1,"",""
"ClinicalReport","ClinicalReport.rash","ClinicalReport.rash","","","",0,1,"","","","code {[]} {[]}
","Rash","Rash","","","","","","","","","",,"required","","http://example.org/ValueSet/YesNoUnknownVS","http://example.org/CodeSystem/dhis2-data-elements-cs#rF81w0SBlrF
",,,,"ClinicalReport.rash",0,1,"",""
"ClinicalReport","ClinicalReport.durationOfTheRash","ClinicalReport.durationOfTheRash","","","",0,1,"","","","unsignedInt {[]} {[]}
","Duration of the rash","Duration of the rash","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#dUKQSnRbqSJ
",,,,"ClinicalReport.durationOfTheRash",0,1,"",""
"ClinicalReport","ClinicalReport.dateOfRashOnset","ClinicalReport.dateOfRashOnset","","","",0,1,"","","","date {[]} {[]}
","Date of rash onset","Date of rash onset","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#pLnmZUadUXA
",,,,"ClinicalReport.dateOfRashOnset",0,1,"",""
"ClinicalReport","ClinicalReport.typeOfRash","ClinicalReport.typeOfRash","","","",0,1,"","","","code {[]} {[]}
","Type of rash","Type of rash","","","","","","","","","",,"required","","http://example.org/ValueSet/TypeOfRashVS","http://example.org/CodeSystem/dhis2-data-elements-cs#fkKMZsHl8np
",,,,"ClinicalReport.typeOfRash",0,1,"",""
"ClinicalReport","ClinicalReport.cough","ClinicalReport.cough","","","",0,1,"","","","code {[]} {[]}
","Cough","Cough","","","","","","","","","",,"required","","http://example.org/ValueSet/YesNoUnknownVS","http://example.org/CodeSystem/dhis2-data-elements-cs#XM4BWbRIruu
",,,,"ClinicalReport.cough",0,1,"",""
"ClinicalReport","ClinicalReport.conjunctivities","ClinicalReport.conjunctivities","","","",0,1,"","","","code {[]} {[]}
","Conjunctivities","Conjunctivities","","","","","","","","","",,"required","","http://example.org/ValueSet/YesNoUnknownVS","http://example.org/CodeSystem/dhis2-data-elements-cs#V9UlOFxpWF6
",,,,"ClinicalReport.conjunctivities",0,1,"",""
"ClinicalReport","ClinicalReport.coryza","ClinicalReport.coryza","","","",0,1,"","","","code {[]} {[]}
","Coryza","Coryza","","","","","","","","","",,"required","","http://example.org/ValueSet/YesNoUnknownVS","http://example.org/CodeSystem/dhis2-data-elements-cs#cbVD6ChL4XM
",,,,"ClinicalReport.coryza",0,1,"",""
"ClinicalReport","ClinicalReport.koplikSpots","ClinicalReport.koplikSpots","","","",0,1,"","","","code {[]} {[]}
","Koplik Spots","Koplik Spots","","","","","","","","","",,"required","","http://example.org/ValueSet/YesNoUnknownVS","http://example.org/CodeSystem/dhis2-data-elements-cs#H5U2xFeUvQM
",,,,"ClinicalReport.koplikSpots",0,1,"",""
